Gene ID	Gene Name	7 day	8 day	9 day	10 day	11 day	12 day	13 day	14 day	15 day	16 day
AT3G46310	AT3G46310									0.1	0.1
AT3G46320	AT3G46320	221.0	214.0	231.0	210.0	372.0	266.0	214.0	230.0	304.0	236.0
AT3G46370	AT3G46370		0.1		0.1	0.2	0.1				
AT3G46390	AT3G46390										0.1
AT3G46430	AT3G46430	192.0	190.0	210.0	145.0	213.0	156.0	138.0	120.0	178.0	155.0
AT3G46440	UXS5	40.0	38.0	37.0	40.0	37.0	38.0	35.0	37.0	38.0	33.0
AT3G46450	AT3G46450	9.0	7.0	6.0	8.0	6.0	8.0	7.0	7.0	9.0	11.0
AT3G46460	UBC13	16.0	19.0	21.0	20.0	20.0	17.0	16.0	16.0	21.0	18.0
AT3G46490	AT3G46490	0.1	2.0	0.3	0.1		0.1	0.1			
AT3G46510	PUB13	19.0	20.0	18.0	20.0	17.0	21.0	21.0	23.0	18.0	19.0
AT3G46520	ACT12									0.8	0.4
AT3G46530	RPP13	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	5.0
AT3G46540	AT3G46540	6.0	7.0	9.0	8.0	7.0	6.0	6.0	6.0	10.0	13.0
AT3G46550	FLA4	16.0	13.0	15.0	18.0	16.0	20.0	21.0	21.0	17.0	19.0
AT3G46560	TIM9	159.0	141.0	146.0	124.0	231.0	118.0	119.0	116.0	130.0	131.0
AT3G46580	MBD5	26.0	26.0	27.0	28.0	26.0	34.0	35.0	30.0	38.0	40.0
AT3G46590	TRP2	16.0	9.0	8.0	13.0	6.0	10.0	14.0	9.0	13.0	19.0
AT3G46600	SCL30	3.0	5.0	5.0	4.0	4.0	4.0	4.0	7.0	7.0	9.0
AT3G46610	AT3G46610	7.0	7.0	6.0	8.0	5.0	8.0	7.0	8.0	10.0	11.0
AT3G46613	RTFL4									0.2	0.1
AT3G46614	AT3G46614				0.2		0.2	0.2	0.2	0.1	0.4
AT3G46616	AT3G46616		0.2		0.1		0.1	0.2	0.1	0.1	0.3
AT3G46617	AT3G46617				0.8		0.4	0.3	0.2	0.1	0.6
AT3G46620	RDUF1	9.0	8.0	9.0	11.0	13.0	10.0	14.0	11.0	11.0	10.0
AT3G46630	AT3G46630	6.0	16.0	14.0	13.0	14.0	14.0	12.0	13.0	16.0	18.0
AT3G46640	PCL1	15.0	14.0	14.0	13.0	13.0	12.0	12.0	13.0	14.0	18.0
AT3G46658	AT3G46658	2.0	0.2	0.1	0.3	0.3	0.2	0.3	0.4	0.5	0.6
AT3G46666	AT3G46666		0.8	0.1			0.1				0.3
AT3G46668	AT3G46668	1.0	0.8	0.8	1.0	0.6	1.0	0.7	0.7	1.0	1.0
AT3G46680	UGT76E6		0.2		0.1		0.1	0.1	0.1		
AT3G46690	UGT76E4	0.4	0.2								
AT3G46700	UGT76E3								0.1		
AT3G46720	UGT76E5								0.1		
AT3G46730	RPP13L3		0.1								
AT3G46740	TOC75-3	71.0	87.0	77.0	76.0	77.0	84.0	82.0	94.0	96.0	78.0
AT3G46750	AT3G46750									0.1	
